,Net m²,Brüt m²,Binadaki Kat Sayısı,Isıtma Tipi,Bulunduğu Kat,Bina Yaşı,Mobilya Durumu,Kullanım Durumu,Krediye Uygun,Hayvan Dostu Patili Evler,Ada,Parsel,Listing No,Gross m²,Heating Type,Floor,Age of the Building,Usage Status,Maintenance Fee,Rental Income,Suitable for Bank Loan,Number of Rooms,Number of Bathrooms,Number of Floors of the Building,Status of the Property,House Type,"Video Home Tour
                                                                ?",Furnishing Status,Unit Exchange,Title Deed Status,From Whom,Pet Friendly Paws Houses,Fiyat,İl,İlçe,Mahalle,Oda
0,126,160m²,2,Kombi (Doğalgaz),Müstakil,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,7500000,İstanbul,Adalar,Heybeliada, 4 + 1 
1,375,400m²,,,,,,,Hayır,,,,,,,,,,,,,,,,,,,,,,,,15000000,İstanbul,Adalar,Maden, 5 + 2 
2,100,110m²,3,Kombi (Doğalgaz),3,31-35 arası,Sadece Beyaz Eşya,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,2750000,İstanbul,Adalar,Heybeliada, 3 + 1 
3,170,185m²,3,Kombi (Doğalgaz),3,26-30 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,13000000,İstanbul,Adalar,Nizam, 3 + 1 
4,140,160m²,2,Kombi (Doğalgaz),Yüksek Giriş,36-40 arası,Eşyalı (Mobilyalı),Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,9500000,İstanbul,Adalar,Nizam, 3 + 1 
5,219,220m²,3,Kat Kaloriferi,3,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,10000000,İstanbul,Adalar,Heybeliada, 4 + 1 
6,105,137m²,4,Kombi (Doğalgaz),3,31-35 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 
7,152,198m²,4,Kombi (Doğalgaz),4,31-35 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 
8,105,137m²,4,Kombi (Doğalgaz),3,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 
9,70,75m²,4,Kalorifer (Doğalgaz),Bahçe katı,26-30 arası,Eşyasız,Mülk Sahibi,Hayır,Evet,,,,,,,,,,,,,,,,,,,,,,,4000000,İstanbul,Adalar,Heybeliada, 2 + 1 
10,155,165m²,3,Kalorifer (Doğalgaz),3,21-25 arası,Eşyasız,Mülk Sahibi,Evet,,HEYBELİADA,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Adalar,Heybeliada, 3 + 1 
11,152,198m²,4,Kombi (Doğalgaz),4,31-35 arası,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 
12,105,137m²,4,Kombi (Doğalgaz),Kot 2,31-35 arası,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 
13,152,198m²,,Kombi (Doğalgaz),Kot 4,31-35 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 
14,98,110m²,4,,Zemin Kat,6-10 arası,,Kiracılı,Hayır,,,,,,,,,,,,,,,,,,,,,,,,5500000,İstanbul,Adalar,Nizam, 1 + 1 
15,100,110m²,4,Fancoil,1,6-10 arası,,Kiracılı,Evet,Evet,,,,,,,,,,,,,,,,,,,,,,,9000000,İstanbul,Adalar,Nizam, 2 + 1 
16,130,140m²,3,Kombi (Elektrikli),3,31-35 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4900000,İstanbul,Adalar,Maden, 3 + 1 
17,165,175m²,3,Klima,1,40 ve üzeri,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,8800000,İstanbul,Adalar,Nizam, 4 + 1 
18,130,140m²,3,Kombi (Doğalgaz),Bahçe katı,26-30 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6750000,İstanbul,Adalar,Nizam, 3 + 1 
19,85,95m²,3,Kombi (Doğalgaz),,26-30 arası,Eşyasız,,Evet,,,,,,,,,,,,,,,,,,,,,,,,3950000,İstanbul,Adalar,Nizam, 3 + 1 
20,130,140m²,3,Kombi (Doğalgaz),Yüksek Giriş,40 ve üzeri,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,9600000,İstanbul,Adalar,Maden, 3 + 1 
21,160,170m²,3,Kat Kaloriferi,En Üst Kat,16-20 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,6250000,İstanbul,Adalar,Heybeliada, 4 + 1 
22,250,260m²,7,Kat Kaloriferi,Bahçe katı,31-35 arası,Eşyalı (Mobilyalı),Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,6000000,İstanbul,Adalar,Heybeliada, 4 + 1 
23,75,80m²,3,Kat Kaloriferi,2,16-20 arası,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,5450000,İstanbul,Adalar,Heybeliada, 2 + 1 
24,152,198m²,4,Kombi (Doğalgaz),4,31-35 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 
25,121,142m²,5,Klima,2,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,3125000,İstanbul,Arnavutköy,Hastane, 3 + 1 
26,95,100m²,3,,2,4,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 2 + 1 
27,140,160m²,5,,,4,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,4495000,İstanbul,Arnavutköy,Karlıbayır, 2 + 2 
28,96,132m²,10-20 arası,,,0,Eşyasız,Boş,Hayır,,,,,,,,,,,,,,,,,,,,,,,,7500000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 
29,180,190m²,4,Kombi (Doğalgaz),4,1,Eşyasız,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,3500000,İstanbul,Arnavutköy,Haraççı, 4 + 2 
30,130,150m²,3,,3,4,Eşyasız,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2775000,İstanbul,Arnavutköy,Arnavutköy Merkez, 4 + 2 
31,70,75m²,4,,,6-10 arası,,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1595000,İstanbul,Arnavutköy,Anadolu, 2 + 1 
32,115,125m²,4,,,11-15 arası,,Mülk Sahibi,Evet,,,,,,,,,,,,,,,,,,,,,,,,2275000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 3 + 1 
33,75,85m²,2,Merkezi Sistem (Isı Payı Ölçer),,11-15 arası,,Kiracılı,Evet,,,,,,,,,,,,,,,,,,,,,,,,2250000,İstanbul,Arnavutköy,Adnan Menderes, 2 + 1 
34,85,95m²,4,,1,6-10 arası,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1710000,İstanbul,Arnavutköy,Karlıbayır, 2 + 1 
35,85,95m²,3,,Giriş Katı,0,Eşyasız,Boş,Evet,,,,,,,,,,,,,,,,,,,,,,,,1780000,İstanbul,Arnavutköy,Haraççı, 2 + 1 
