,net_alan,brut_alan,kredi_durumu,kat_sayisi,isitma,bulundugu_kat,bina_yasi,esya,kullanim_durumu,fiyat,il,ilce,mahalle,oda_sayisi,toplam_oda_sayisi,lat,lng
0,100,110,3,2,3,33,2,0,1,2750000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
1,170,185,3,2,3,28,0,2,1,13000000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
2,140,160,2,2,1,38,1,0,1,9500000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
3,219,220,3,2,3,0,0,0,1,10000000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
4,105,137,4,2,3,33,0,0,1,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
5,152,198,4,2,4,33,0,0,1,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
6,105,137,4,2,3,33,0,2,1,3900000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
7,70,75,4,2,0,28,0,1,0,4000000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
8,155,165,3,2,3,23,0,1,1,5500000,İstanbul,Adalar,Heybeliada, 3 + 1 ,4,40.8741659,29.1293251
9,130,140,3,2,3,33,0,0,1,4900000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
10,165,175,3,3,1,43,0,0,1,8800000,İstanbul,Adalar,Nizam, 4 + 1 ,5,40.8741659,29.1293251
11,130,140,3,2,0,28,0,0,1,6750000,İstanbul,Adalar,Nizam, 3 + 1 ,4,40.8741659,29.1293251
12,130,140,3,2,1,43,0,2,1,9600000,İstanbul,Adalar,Maden, 3 + 1 ,4,40.8741659,29.1293251
13,160,170,3,2,3,18,0,0,1,6250000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
14,250,260,7,2,0,33,1,2,1,6000000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
15,75,80,3,2,2,18,0,1,1,5450000,İstanbul,Adalar,Heybeliada, 2 + 1 ,3,40.8741659,29.1293251
16,152,198,4,2,4,33,0,0,1,4500000,İstanbul,Adalar,Heybeliada, 4 + 1 ,5,40.8741659,29.1293251
17,121,142,5,3,2,0,0,0,1,3125000,İstanbul,Arnavutköy,Hastane, 3 + 1 ,4,41.0671774,29.0432713
18,180,190,4,2,4,1,0,1,1,3500000,İstanbul,Arnavutköy,Haraççı, 4 + 2 ,6,41.0671774,29.0432713
19,90,115,15,2,14,8,2,0,0,2250000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 ,3,41.0671774,29.0432713
20,85,95,3,3,1,0,0,0,1,1700000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 ,3,41.0671774,29.0432713
21,57,65,3,3,0,0,0,0,1,1100000,İstanbul,Arnavutköy,Hadımköy, 1 + 1 ,2,41.0671774,29.0432713
22,170,190,3,3,3,0,0,0,1,2800000,İstanbul,Arnavutköy,Hadımköy, 4 + 2 ,6,41.0671774,29.0432713
23,100,110,5,2,1,0,0,0,1,1650000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
24,145,160,4,2,4,1,0,1,1,2600000,İstanbul,Arnavutköy,Mustafa Kemal Paşa, 3 + 2 ,5,41.0671774,29.0432713
25,120,130,3,3,0,0,0,0,1,2850000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 ,4,41.0671774,29.0432713
26,95,105,4,2,4,8,0,0,1,1290000,İstanbul,Arnavutköy,Hastane, 2 + 1 ,3,41.0671774,29.0432713
27,140,150,4,2,0,3,0,2,1,1490000,İstanbul,Arnavutköy,Arnavutköy Merkez, 3 + 2 ,5,41.0671774,29.0432713
28,80,89,4,2,1,8,0,2,1,1350000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
29,90,100,5,2,2,0,3,0,1,1650000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
30,88,103,4,2,2,0,0,0,0,3100000,İstanbul,Arnavutköy,İslambey, 3 + 1 ,4,41.0671774,29.0432713
31,150,180,4,2,4,0,0,0,1,3500000,İstanbul,Arnavutköy,İslambey, 4 + 1 ,5,41.0671774,29.0432713
32,75,85,4,2,0,8,0,2,1,960000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
33,110,130,4,2,0,0,0,0,0,1750000,İstanbul,Arnavutköy,Anadolu, 2 + 2 ,4,41.0671774,29.0432713
34,130,150,4,2,4,0,0,0,1,2550000,İstanbul,Arnavutköy,Anadolu, 4 + 2 ,6,41.0671774,29.0432713
35,95,110,5,2,3,5,0,0,1,2650000,İstanbul,Arnavutköy,Hadımköy, 2 + 1 ,3,41.0671774,29.0432713
36,80,84,8,2,1,3,0,2,1,1480000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
37,170,215,5,2,4,5,0,0,1,4050000,İstanbul,Arnavutköy,Hadımköy, 5 + 1 ,6,41.0671774,29.0432713
38,148,160,15,3,14,8,2,0,1,4250000,İstanbul,Arnavutköy,Yassıören, 3 + 1 ,4,41.0671774,29.0432713
39,105,125,2,3,0,0,0,0,1,3150000,İstanbul,Arnavutköy,Taşoluk, 2 + 2 ,4,41.0671774,29.0432713
40,180,245,2,3,2,0,0,0,1,4950000,İstanbul,Arnavutköy,Taşoluk, 3 + 2 ,5,41.0671774,29.0432713
41,165,210,2,3,2,0,0,0,1,4790000,İstanbul,Arnavutköy,Taşoluk, 3 + 2 ,5,41.0671774,29.0432713
42,88,110,2,3,1,0,0,0,1,2990000,İstanbul,Arnavutköy,Taşoluk, 2 + 1 ,3,41.0671774,29.0432713
43,120,125,5,2,1,0,0,0,1,1600000,İstanbul,Arnavutköy,İslambey, 3 + 1 ,4,41.0671774,29.0432713
44,195,230,4,2,3,1,0,1,1,2600000,İstanbul,Arnavutköy,Mavigöl, 4 + 2 ,6,41.0671774,29.0432713
45,78,88,1,2,1,0,0,0,1,1700000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 ,3,41.0671774,29.0432713
46,110,140,6,2,1,0,0,0,1,3600000,İstanbul,Arnavutköy,Hadımköy, 3 + 1 ,4,41.0671774,29.0432713
47,90,100,5,2,2,0,0,1,1,1700000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 ,3,41.0671774,29.0432713
48,80,95,6,2,2,0,0,0,1,1750000,İstanbul,Arnavutköy,Anadolu, 2 + 1 ,3,41.0671774,29.0432713
49,85,100,15,3,5,4,0,0,1,1930000,İstanbul,Arnavutköy,Deliklikaya, 2 + 1 ,3,41.0671774,29.0432713
50,85,90,3,2,1,13,0,2,1,2800000,İstanbul,Arnavutköy,Mehmet Akif Ersoy, 2 + 1 ,3,41.0671774,29.0432713
51,80,90,5,2,1,0,0,0,1,1520000,İstanbul,Arnavutköy,Arnavutköy Merkez, 2 + 1 ,3,41.0671774,29.0432713
52,121,142,5,3,2,0,0,0,1,3125000,İstanbul,Arnavutköy,Hastane, 3 + 1 ,4,41.0671774,29.0432713
53,115,125,15,2,15,28,2,0,1,3500000,İstanbul,Ataşehir,İçerenköy, 3 + 1 ,4,40.9929379,29.1135187
54,66,90,7,2,0,2,0,2,1,3450000,İstanbul,Ataşehir,Esatpaşa, 2 + 1 ,3,40.9929379,29.1135187
55,88,117,20,2,20,13,0,2,1,4800000,İstanbul,Ataşehir,Atatürk, 3 + 1 ,4,40.9929379,29.1135187
56,100,110,7,2,4,33,0,2,1,2800000,İstanbul,Ataşehir,İçerenköy, 3 + 1 ,4,40.9929379,29.1135187
